,source,date,comment
61,stiiizy-iheartjane,2023年8月26日,I'm 0t angry anymore.
62,stiiizy-iheartjane,2023年8月21日,I like the way it was easy to smoke and taste was vey pleasant.
63,stiiizy-iheartjane,2023年8月10日,One of my favorites!
64,stiiizy-iheartjane,2023年8月5日,Tasted Fruity and Yummy
65,stiiizy-iheartjane,2023年7月1日,I liked it wish it was stronger
66,stiiizy-iheartjane,2023年6月17日,smooth cart 0t too harsh and good taste
67,stiiizy-iheartjane,2023年5月31日,I didn't get much from this vape..
68,stiiizy-iheartjane,2023年5月27日,Blueberry ðŸ”¥ðŸ«£
69,stiiizy-iheartjane,2023年5月24日,Good sativa. Really wakes you up and gets you going. Smooth and easy. Didnâ€™t really taste like anything but it wasnâ€™t a bad taste either.
70,stiiizy-iheartjane,2023年4月15日,Blue Dream is always a good time
71,stiiizy-iheartjane,2023年4月4日,"This blue dream is the best to relax and think! However, any full gram Stiizy is 0t worth it. So much of the solution comes out as tar and sticks to your teeth, making them look black. This also causes more than half the product to be wasted, so, again, 0t worth buying a full gram. Stick with the half grams if they have it."
72,stiiizy-iheartjane,2023年3月7日,Feeling a little anxious? A puff or two during the day eased my mind and got it refocused on what was important. It did 0t make me feel sleepy or high.
73,stiiizy-iheartjane,2023年3月4日,This product is great for an after0on of video games!!
74,stiiizy-iheartjane,2023年2月20日,"The name speaks for itself. Taste like blueberry slightly, but the cerebral and physical effects are DREAMY.  One of the greatest strains k0wn to mankind."
75,stiiizy-iheartjane,2023年2月4日,"All Stiiizy products are super tasty, high quality & very effective~!"
76,stiiizy-iheartjane,2023年2月2日,0pe. Did the same thing. So im out a bunch of moneyâ€¦
77,stiiizy-iheartjane,2023年1月7日,"Definitely a solid choice, though I think there is some blueberry flavor added that could be toned down. I'd prefer Stiiizy rosin pods but Artist Tree Fres0 doesn't carry even a single one. Weird. So this is the one of the next best choices."
78,stiiizy-iheartjane,2023年1月7日,Love the taste
79,stiiizy-iheartjane,2023年1月7日,"It did meet my expectations, I do recommend this product!"
80,stiiizy-iheartjane,2022年12月31日,Love this for relaxing or going to sleep.
81,stiiizy-iheartjane,2022年12月25日,"I sucked 90 percent of the wax through the mouth piece. I ate alot of wax and was hot. It was a good high but 0t worth hitting it and sucking out a good portion of wax every time,  and being clogged."
82,stiiizy-iheartjane,2022年12月10日,Ok
83,stiiizy-iheartjane,2022年12月5日,One of ym favorite
84,stiiizy-iheartjane,2022年11月30日,Good but 0t worth the price for the small amount
85,stiiizy-iheartjane,2022年10月30日,Very tasty reminds me the flower.
86,stiiizy-iheartjane,2022年10月10日,It was awesome
87,stiiizy-iheartjane,2022年9月25日,"i love blue dream, tastes amazing!"
88,stiiizy-iheartjane,2022年8月6日,5stars
89,stiiizy-iheartjane,2022年7月15日,"This is my favorite Stiiizy Pod flavor because the Blueberry flavor really goes well with the Blue Dream extract. I've only found a handful of other OG Pods that have good flavoring, but this is by far the most consistent every time. If you're a fan of flavored nic vapes but want to switch to thc, I highly recommend this as a flavored vaping alternative."
90,stiiizy-iheartjane,2022年6月17日,Great for every day life ðŸ˜ŠðŸ˜ŠðŸ˜Š
91,stiiizy-iheartjane,2022年5月22日,def my fav hits hard even if you got a tolerance
92,stiiizy-iheartjane,2022年5月22日,Good stuff!
93,stiiizy-iheartjane,2022年5月20日,Love all the Stiizy This was 0 disappointment either
94,stiiizy-iheartjane,2022年4月21日,It was great
95,stiiizy-iheartjane,2022年4月17日,It kind of gave me a headache and the high wasnt as good as the other sativas.
96,stiiizy-iheartjane,2022年4月15日,My absolute favðŸ˜˜ðŸ‘ŒðŸ»
97,stiiizy-iheartjane,2022年4月7日,"Great tasting berry flavor. Awake, talkative relaxing buzz. Good one to take when you are out and about socializing or want to have a lazy after0on/evening playing games or watching a movie. A toss up between Blue Dream or Do-si-dos during the day for me, either one will be a good choice!"
98,stiiizy-iheartjane,2022年4月1日,Always love the blue dream. Very good for creativity!! :)
99,stiiizy-iheartjane,2022年3月25日,I love stiizy their products never disappoint
100,stiiizy-iheartjane,2022年3月5日,Using this for depression and anxiety during the day. Very smooth and love the battery pack .. just puff 0 pushing buttons easy breezy
101,stiiizy-iheartjane,2022年2月20日,Kind of made me jittery
102,stiiizy-iheartjane,2022年2月13日,Perfect!
103,stiiizy-iheartjane,2022年2月4日,"0w as Iâ€™m older I feel more energetic, it keeps me on track with stuff I need to get done for the day. Overall itâ€™s a good experience if youâ€™re wanting to be alert. If youâ€™re wanting to chill; best pick something else."
104,stiiizy-iheartjane,2022年1月29日,"Blue dream is a great strain...
But, STIIZY blue dream is amazing!!"
105,stiiizy-iheartjane,2021年12月17日,"Such a good strain. The immediate relief from anxiety and panic, nausea, insomnia and headaches is a god send! The flavor is fruity and great too! Overall fire!"
106,stiiizy-iheartjane,2021年12月11日,Blue dream is one of my all time favorite strains
107,stiiizy-iheartjane,2021年12月3日,"Love this stuff. Spend 10 minutes on my porch with this and a mt dew and I'm feeling great for the rest of the night. 10/10 tastes good too, 0t too grassy."
108,stiiizy-iheartjane,2021年12月1日,Blue dream is the go to whether Iâ€™m tryna get a skate sesh in or just chill and kick it at the pad
109,stiiizy-iheartjane,2021年11月28日,"Blue dream is my all time favorite. Only strain I  smoke. Very enjoyable, happy, energetic, outgoing. Brings you out of your shell. A lot more active also great for the late night activities. I highly recommend"
110,stiiizy-iheartjane,2021年11月13日,Extreme experience. Great taste and easy to use. Worked 12 hours pain free around the house and yard! Felt good to get off the couch for a change! Looking forward to the next experience!!!!
111,stiiizy-iheartjane,2021年10月27日,"I like stizzy pods and this one is 0 exception to the many I have tried. The flavor is very minimal compared to the others, but overall high is good."
112,stiiizy-iheartjane,2021年10月24日,"Very clean taste, high was great."
113,stiiizy-iheartjane,2021年10月15日,Best Stiiizy  sativa cart to be honest
114,stiiizy-iheartjane,2021年9月20日,"Really great flavor, and euphoric feeling"
115,stiiizy-iheartjane,2021年9月16日,00t overwhelming with hunger but eases nausea
116,stiiizy-iheartjane,2021年8月7日,Gets you blasted
117,stiiizy-iheartjane,2021年7月28日,Nice high that takes the edge off the pain from my recent hip surgery.
118,stiiizy-iheartjane,2021年7月22日,"I don't vape anymore, but the product was good."
119,stiiizy-iheartjane,2021年7月12日,the flavor is pretty good
120,stiiizy-iheartjane,2021年7月3日,Overall great product
121,stiiizy-iheartjane,2021年7月1日,"It's a classic strain and performs as advertised. However, I did 0t like the taste  or the after taste."
122,stiiizy-iheartjane,2021年6月27日,Highly recommended sativa!  Super great flavor. Stiiizy is my favorite daily driver vape.
123,stiiizy-iheartjane,2021年6月22日,A little to much Blueberry Flavor. Otherwise does the trick. Makes me cough!
124,stiiizy-iheartjane,2021年5月10日,Was very happy with it. Very close to the actual flower
125,stiiizy-iheartjane,2021年4月29日,Great flavor
126,stiiizy-iheartjane,2021年3月18日,"0t bad, and it does have a rather â€œblueâ€ flavor to it. Very clean high. Iâ€™d buy it again"
127,stiiizy-iheartjane,2021年2月6日,The contacts to the battery on this podare bad so. The dosing is really inconsistent
128,stiiizy-iheartjane,2020年10月11日,"Great taste, smooth high, and overall good experience. Would buy again!"
129,stiiizy-iheartjane,2020年9月1日,Tasty treat as always! Definitely felt the chill buzz while also feeling stimulated. I was able to still get things done without a grumpy attitude.
130,stiiizy-iheartjane,2020年8月25日,This has a great sativa effect.   Solid boost but without the para0ia. Solid choice for socializing.
131,stiiizy-iheartjane,2020年8月4日,.....excellent.
132,stiiizy-iheartjane,2020年7月21日,"Stiizy is probably the best of best of the disposable Vape Pens - Blue Dream, as a flower product, had always been one of my favorites:  zesty taste (esp. in vaporizing flower); immediate calming & produces energy (I usually walk 2-3 miles daily) - with the Stiizy it is even more enhanced; and a little goes a long ways!"
133,stiiizy-iheartjane,2020年7月12日,"Blue Dream is great but sadly, the driver was out and it was replaced with the as great strawberry cough."
134,stiiizy-iheartjane,2020年6月23日,The best product I've purchased
135,stiiizy-iheartjane,2020年6月17日,Blue Dream has long been a go-to strain for me; Stiiizy makes it so easy to enjoy!
136,stiiizy-iheartjane,2020年6月16日,"I've been using blue dream for years.  I would say it is my go to for sure.  Just watching TV is interesting for me but I LOVE the feeling when we are ""getting busy"" in the bedroom, back yard, etc."
137,stiiizy-iheartjane,2020年5月30日,5th  one love the strain
138,stiiizy-iheartjane,2020年5月10日,Good herb. Really enjoyed.
139,stiiizy-iheartjane,2020年5月8日,Blue dream is the shit.
140,stiiizy-iheartjane,2020年4月27日,1
141,stiiizy-iheartjane,2020年4月21日,I love stiiizy products and trees by far has the best prices best quality and customer service best all-aroundðŸ˜Š but as far as the Disney cartridge Blue Dream goes I'm very satisfied with this cartridge
142,stiiizy-iheartjane,2020年1月28日,"Works great, smooth pull and relaxing."
143,stiiizy-iheartjane,2020年1月4日,0t bad!! But too weak!!
144,stiiizy-iheartjane,2023年7月10日,Highly recommend great taste wonderful high!!!!
145,stiiizy-iheartjane,2023年7月1日,Is aite
146,stiiizy-iheartjane,2023年6月25日,Best stuff I've ever had! I'll be back again!
147,stiiizy-iheartjane,2023年6月21日,This is one of my go to for r n r
148,stiiizy-iheartjane,2023年6月4日,1 it did meet my expectations very good product recommend it for relaxing
149,stiiizy-iheartjane,2023年5月31日,"The King Louis is my go-to for helping me fall asleep. I have a tendency to 0t stay asleep,  so this really helps me get more sleep."
150,stiiizy-iheartjane,2023年5月27日,High asf ðŸ”¥ðŸ‘€
151,stiiizy-iheartjane,2023年5月20日,It was good Holmes
152,stiiizy-iheartjane,2023年5月13日,"I enjoyed it , 2 hits get me ripped and it taste good 10/10"
153,stiiizy-iheartjane,2023年5月5日,"mellow, tastes like soap... Won't purchase again"
154,stiiizy-iheartjane,2023年3月17日,"Great for being distillate. Doesn't burn, great taste, I tried this and the Do Si Dos along with Platinum Jack and I believe this one has live resin terps in it as I don't get an irritation when exhaling. Lasts a lot longer than typical 510 carts as well and a better hit/air flow. The battery could be better, it dies pretty fast, but they were free, so what do you expect? lol. 9/10 stars, would buy again. Great for sleep as well."
155,stiiizy-iheartjane,2023年3月11日,This is by far a GREAT product - both quality and taste were on point and will be buying again. Im thrilled to find a hard hitting indica that DOESNT give me the munchies =) I was enticed to try this out since I got the battery for free since you cant use the typical round one.
156,stiiizy-iheartjane,2023年3月8日,Iâ€™m 0t sure why exactly but Stiiizy seems to give me anxiety instead of high and they donâ€™t seem to last very long
157,stiiizy-iheartjane,2023年2月25日,Indica dominant strain with heavy hitting effects similar to that of cookies or a good OG very nice tasting and food over all effects .
158,stiiizy-iheartjane,2023年2月4日,Perfect!
159,stiiizy-iheartjane,2023年1月24日,Super dank
160,stiiizy-iheartjane,2023年1月12日,"I only fw stiiizy, I never 0t get high when I smoke stiiizy lol"
161,stiiizy-iheartjane,2023年1月3日,Great quality.
162,stiiizy-iheartjane,2022年11月22日,great taste and stoney
163,stiiizy-iheartjane,2022年11月10日,"I use King Louie to relax and sleep at night. 
I recommend this if you have a hard time getting settled in the evening."
164,stiiizy-iheartjane,2022年10月9日,Amazing flavor that will put you to bed
165,stiiizy-iheartjane,2022年9月18日,"All the above positive feelings. 
beyond my expectations! 
I’ll be buying this again."
166,stiiizy-iheartjane,2022年7月25日,"Hey hey hey how are you all today, I hope all my cannabis con0isseur‘s out there are having a great day and staying medicated!!! I just wanted to stop by today and share my experience with a king Louis xIII stizzy pods! And tbh they are my favorite pod yet!! It’s got a great taste super euphoric and most of all very very very relaxing!!  I definitely recommend this product for people who have suffering from high stress unmanageable anxiety and if you are having trouble sleeping"
167,stiiizy-iheartjane,2022年7月15日,Best indica
168,stiiizy-iheartjane,2022年6月12日,So happy I found a strain that doesn’t give me munchies!
169,stiiizy-iheartjane,2022年6月2日,"King Louis is a classic pod that will always hit! A solid body and head high that’s relaxing, it does make me pretty tired the next day but that’s to be expected"
170,stiiizy-iheartjane,2022年4月1日,Favorite stiiizy strain most consistent high and flavor is 0t too strong
171,stiiizy-iheartjane,2022年3月25日,Enriched my hiking experience�
172,stiiizy-iheartjane,2022年2月12日,Very flavorful and body relaxing for muscles
173,stiiizy-iheartjane,2022年1月11日,Best high and taste.
174,stiiizy-iheartjane,2021年11月17日,"Depending on the mood, this strain can either make you forget about the long day at work or help you get the mind juices flowing.  But even with the mind going everywhere can be asleep in mid thought in moments"
175,stiiizy-iheartjane,2021年10月30日,"The king is here! By far one of my favorite strains, STIZZY does good by this strain by hitting you hard and quick leaving you open for either deep thoughts or mindless jokes and riffs to do with your favorite group of people. I don't get harsh munchies but I definitely feel this one for a lot longer than other strains. King Louis is a fantastic choice for a sesh with the squad or just watching your favorite videos at home."
176,stiiizy-iheartjane,2021年10月3日,Amazing strain to rest the mind and body
177,stiiizy-iheartjane,2021年9月3日,My favorite indica vape. A proper high with great flavor.
178,stiiizy-iheartjane,2021年8月13日,Best flavor!
179,stiiizy-iheartjane,2021年8月1日,I love indicas and this is my favorite pod for late nights in my room while readin(c definitely gives you a relaxing body high. 10/10
180,stiiizy-iheartjane,2021年7月2日,"I love the strong mango flavor, it gets me high every time."
181,stiiizy-iheartjane,2021年6月7日,Love the service.
182,stiiizy-iheartjane,2021年5月26日,This is hands down the best tasting indica from stizzy. It’s a straight mango taste very sweet and a little sour I thought it was a sativa for a second given that’s how they all taste. If you want flavor this is it
183,stiiizy-iheartjane,2021年5月26日,It does its job
184,stiiizy-iheartjane,2021年4月27日,"I lived in LA when they dropped this product from their original store, it is my favorite and will always be, 0 one can compete with this company."
185,stiiizy-iheartjane,2021年4月12日,King Louis exceeded my expectations. I like the flavor and the high. Really helped me chill.
186,stiiizy-iheartjane,2021年3月27日,Best tasting pod and the high was great too
187,stiiizy-iheartjane,2021年2月18日,Didn’t like how it’s to fruity
188,stiiizy-iheartjane,2021年2月6日,Very tasty and potent
189,stiiizy-iheartjane,2021年1月9日,Good value
190,stiiizy-iheartjane,2020年12月27日,I really enjoy the relaxing mood I get from this stiiizy pod and how it helps me relax will definitely buy more and I do and the taste is great.
191,stiiizy-iheartjane,2020年12月19日,"0t the Stiiizy for me. Was mostly only good for sleep relief. I found very little 'high' to it, It just made me tired. The mango flavor was nice, but the cart itself was 0t completely full, a large bubble on the right side. That and the limited high, I had to mark this one down a bit."
192,stiiizy-iheartjane,2023年6月12日,My favorite Stiiizy strain �
193,stiiizy-iheartjane,2023年6月2日,Gives a crazy head high. Loved it
194,stiiizy-iheartjane,2023年4月10日,One of my all time favorite flavors!
195,stiiizy-iheartjane,2023年1月31日,"First time using Stiizy pods,  I must say I really did like this one, flavor was decent but i dont get them for the flavor just an added bonus.  That being said I enjoyed Gelato, but the high didnt seem to last very long but I guess that could be me and building up a resistance to it sadly... Overall, I liked this product, Didnt have any leaks, and so far so good.    You will get a tingle body high or well I did, pain free I must say which is always nice and what I use this for, so will..."
196,stiiizy-iheartjane,2023年1月15日,"Decided to try this brand, initially the pods were great, but after a few uses the PODS leak into your mouth and get jammed up. I purchases  2 at once, 1st one that leaked I exchanged. The new one I received and the previous one I had...ALL LEAKED and left me chocking a wad of oil."
197,stiiizy-iheartjane,2022年12月27日,I only go for potency the higher the THC lvl is what I care about & what I'm after. I do 0t give a F about terps. Gelato is usually one of the highest testing carts & I like the strain.
198,stiiizy-iheartjane,2022年8月25日,Great high
199,stiiizy-iheartjane,2022年6月16日,Taste was ok and high was ok. Rather go with CDT's for the high
200,stiiizy-iheartjane,2022年5月14日,Great product  Great price
201,stiiizy-iheartjane,2022年2月8日,Honestly this pod looks used. I’ve never had an issue with any pod I’ve ordered but this one is clear with dark brown air bubbles almost as if someone had already taken some hits.
202,stiiizy-iheartjane,2021年12月14日,Yummy
203,stiiizy-iheartjane,2021年9月24日,"Amazing taste, a good mix for a hybrid. All the feels without the munchies."
204,stiiizy-iheartjane,2021年8月13日,I would definitely recommend this flavor .
205,stiiizy-iheartjane,2021年6月5日,Good flavor and high
206,stiiizy-iheartjane,2021年5月22日,These Pods are amazing. TEAM stiiizy#1
207,stiiizy-iheartjane,2021年5月12日,"Good high, natural taste. One of my favorite pods"
208,stiiizy-iheartjane,2021年3月28日,Pretty chill
209,stiiizy-iheartjane,2020年12月11日,"0t the best tasting but did it’s job, fell right asleep"
210,stiiizy-iheartjane,2020年11月8日,great strain
211,stiiizy-iheartjane,2020年6月5日,This pod leaked immediately and I barely got any use from it before it emptied itself. Very disappointed.
212,stiiizy-iheartjane,2020年6月3日,Gelato pax pod is very fire .
213,stiiizy-iheartjane,2020年5月11日,"Kind of disappointed with this strain, had higher expectations for a lasting high! I felt relaxed but never high stimulated! Almost like vaping a cbd distillate"
214,stiiizy-iheartjane,2020年4月21日,"Local Stiiizy lover Jodie back with a0ther top tier flavor!!! Gelato has always been a frozen treat and 0thing shows this better than the treat you experience from smoking a Gelato Stiiizy. After about 5 rips into that bad boy I could feel calm and a small euphoria which is always amazing. Overall a sweet tasting strain with a punch, stay safe and blaze on �"
215,stiiizy-iheartjane,2019年11月27日,The only thing that I didnt care for was the taste of the gelato. But over than that it's one of my favorite strains.
216,stiiizy-iheartjane,2023年9月10日,The best tasting flavor so far that I have tried.
217,stiiizy-iheartjane,2023年8月6日,Honestly didn’t feel much from this.
218,stiiizy-iheartjane,2023年7月30日,Amazing taste & wonderful high
219,stiiizy-iheartjane,2023年7月14日,"While it's smooth, it tastes like I'm vaping grape Kool-Aid powder. As an all-day smoker, the taste quickly became overbearing and unpleasant. This product feels like it was developed for twelve-year-olds, 0t adults. 

It's a nice a relaxing buzz, but too much leaves me feeling agitated. There are better strains out there for me. Blue Burst is ideal for anyone who habitually s0rted Pixi Stix as a child."
220,stiiizy-iheartjane,2023年6月23日,yummy flavor never disappoints
221,stiiizy-iheartjane,2023年6月8日,Blue burst from stiizy tastes great. It tastes like grape pixie sticks. The feeling is smooth and very relaxing. As a hybrid you expect a little sativa and indica but this one is mainly indica feeling without the feeling of sleepiness. Definitely recommend this flavor over other flavors.
222,stiiizy-iheartjane,2023年4月12日,Good product!
223,stiiizy-iheartjane,2023年3月12日,"If you like cheap gas station vapes that taste like a stale sugar free gummy bear, then you will love this. I spent $112 just to throw this directly in the trash. I don't even think there is any THC in this because there is 0t even the slightest bit of essence of marijuana. I knew as soon as I opened it and smelled the nasty fruit smell that I was 0t going to like this, I tried to do an even exchange for a pure strain in the same brand and was told 0 so I tried one hit and couldn't even..."
224,stiiizy-iheartjane,2023年2月24日,The bud was good I used it to relax
225,stiiizy-iheartjane,2023年2月14日,Worked really well for numbing my back pain and helping me just chill out.
226,stiiizy-iheartjane,2023年2月13日,Taste profile ebbs and flows. Some are alright...others taste like drinking a bottle of bubbles from the dollar store.
227,stiiizy-iheartjane,2023年2月4日,"All Stiiizy products are super tasty, high quality & very effective~!"
228,stiiizy-iheartjane,2022年12月10日,Ok
229,stiiizy-iheartjane,2022年11月22日,The product lasted for a while. Literally tasted like a blue jolly rancher. Recommend for helping you finish those last minute papers.
230,stiiizy-iheartjane,2022年10月18日,Pleasant with an indica slant to it.
231,stiiizy-iheartjane,2022年9月12日,"1, very much so"
232,stiiizy-iheartjane,2022年9月2日,awesome flavor
233,stiiizy-iheartjane,2022年7月23日,Blue Burst is my favorite of all the Stiiizy flavors!
234,stiiizy-iheartjane,2022年6月7日,Favorite flavor so far.  Great high and taste good.
235,stiiizy-iheartjane,2022年4月16日,it has a very fruity taste and has a nice high
236,stiiizy-iheartjane,2022年4月8日,Wish the pod itself worked better!  Many defective
237,stiiizy-iheartjane,2022年3月16日,"Taste like a blue starburst, great high too"
238,stiiizy-iheartjane,2022年2月24日,"My blue burst pod was a dud, this isn’t a bad thing but made me realize, if your pod doesn’t work, keep your receipt and head back same day, D2 employees will gladly help you out (same day) 
The flavor is super strong and taste like a refreshing spoonful of blueberries, it’s a distillate oil pod with a great taste and a high that hits right in the head, the taste and strong high of course, makes this worth buying in a gram pod, pick this up with a blue battery and rep that BLUEBERRY STIIIZY! ��"
239,stiiizy-iheartjane,2022年1月28日,The high is good but I don't like the taste
240,stiiizy-iheartjane,2021年12月29日,"It was new packaging and I feel like it went quicker than the other ones. But other than that, it still tastes good."
241,stiiizy-iheartjane,2021年12月26日,"I don’t k0w if Stiiizy changed something up recently but 1. This doesn’t taste as good as blue burst has for me in the past just by a little and 
2. The oil seems thicker, longer lasting. I’m happy!"
242,stiiizy-iheartjane,2021年12月5日,"Great taste, almost like a grape/blue raspberry flavor. Would buy again."
243,stiiizy-iheartjane,2021年11月5日,Great taste and good pod to use while getting tasks done around the house or needing an extra boost for creativity !!
244,stiiizy-iheartjane,2021年11月3日,good (-:
245,stiiizy-iheartjane,2021年11月2日,Love this strain
246,stiiizy-iheartjane,2021年10月23日,Good flavor good high
247,stiiizy-iheartjane,2021年7月28日,Love the flavor and it’s a very chill vibe
248,stiiizy-iheartjane,2021年7月25日,this my favorite
249,stiiizy-iheartjane,2021年6月16日,"Really liked blue burst, very tasty would get again"
250,stiiizy-iheartjane,2021年6月10日,"Overall good, tasty. First time trying a Stiiizy product. Battery and set up is  easy and discreet. Sometimes it seems to get plugged up."
251,stiiizy-iheartjane,2021年5月26日,Loved it! It's my go to.
252,stiiizy-iheartjane,2021年5月26日,My favorite
253,stiiizy-iheartjane,2021年4月29日,Very tasty. Blue raspberry taste wise. Worked as advertised lol
254,stiiizy-iheartjane,2021年4月26日,Love my stiiizy
255,stiiizy-iheartjane,2021年1月22日,Best flavor I have tried yet!!
